TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,price_inr,TouchScreen,HDD,SSD,SSHD,FStorage
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,50336,No,0,256,0,0
Notebook,15.6,1366x768,Intel i7,8,Windows 10,2.05,52624,No,1000,0,0,0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.63,86944,No,0,256,0,0
Notebook,15.6,1366x768,Intel Celeron,4,No OS,1.9,22208,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i5,8,Windows 10,3,82544,No,1000,128,0,0
Notebook,15.6,1920x1080,Intel i5,4,No OS,2.2,43912,No,1000,0,0,0
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.32,61512,No,0,256,0,0
Notebook,17.3,1920x1080,Intel i3,4,Windows 10,3,57640,No,1000,0,0,0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.75,98210,No,0,256,0,0
Gaming,15.6,1920x1080,Intel i7,8,No OS,2.4,76472,No,0,256,0,0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,2.1,52976,No,500,0,0,0
Notebook,15.6,1366x768,AMD A6,4,Windows 10,1.86,32472,No,0,256,0,0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.25,96712,No,0,256,0,0
Ultrabook,12.5,3840x2160,Intel M ,8,Windows 10,0.97,177232,Yes,0,512,0,0
Notebook,15.6,1920x1080,Intel Celeron,4,Windows 10,2,30272,No,1000,0,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.9,178552,No,1000,256,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.1,39336,No,1000,0,0,0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.56,109935,No,0,512,0,0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.62,79112,No,0,0,1000,0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,1.9,43824,No,0,128,0,0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.8,166320,No,1000,256,0,0
Ultrabook,14.0,1920x1080,Intel i5,4,Windows 10,1.48,95216,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,6,Windows 10,1.91,54472,No,0,256,0,0
2 in 1 Convertible,14.0,1920x1080,Intel i3,4,Windows 10,1.74,55352,Yes,0,256,0,0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.1,115720,Yes,0,256,0,0
2 in 1 Convertible,15.6,1920x1080,Intel i7,8,Windows 10,1.56,92312,Yes,0,256,0,0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.1,39336,No,500,0,0,0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.03,35464,No,1000,0,0,0
Notebook,17.3,1920x1080,Intel i5,4,Windows 10,3,70840,No,0,256,0,0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.13,64064,No,0,256,0,0
